sateid,date,pro,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8
C01,2020-06-20-00-00-00,37731504.04,1,5,0,4,0,3,9,6
C02,2020-06-20-00-00-00,37704077.98,4,0,7,7,9,8,4,6
C03,2020-06-20-00-00-00,36616719.67,6,7,1,9,6,7,2,6
C04,2020-06-20-00-00-00,38660370.96,0,3,7,0,9,6,1,6
C05,2020-06-20-00-00-00,39696094.59,6,0,9,4,5,8,6,5
C06,2020-06-20-00-00-00,37742317.13,2,3,1,7,1,3,3,6
C07,2020-06-20-00-00-00,36451068.43,1,0,6,8,4,3,0,7
C08,2020-06-20-00-00-00,39803318.57,3,3,1,8,5,7,0,5
C09,2020-06-20-00-00-00,36575483.72,5,4,8,3,7,1,9,7
C10,2020-06-20-00-00-00,37118074.92,8,0,7,4,9,2,2,7
C12,2020-06-20-00-00-00,25113338.6,3,3,3,8,6,0,2,6
C16,2020-06-20-00-00-00,38167959.48,7,9,5,9,4,7,7,7
C24,2020-06-20-00-00-00,24953846.77,3,8,4,6,7,7,3,6
C26,2020-06-20-00-00-00,21750072.79,0,0,7,2,7,8,9,8
C29,2020-06-20-00-00-00,24678689.73,8,6,8,9,7,2,7,7
G04,2020-06-20-00-00-00,21966884.24,6,8,8,4,2,4,2,7
G07,2020-06-20-00-00-00,23447016.77,7,0,1,6,7,6,6,6
G08,2020-06-20-00-00-00,20154521.46,4,5,2,1,4,6,1,8
G09,2020-06-20-00-00-00,22129309.37,9,3,0,9,3,6,7,7
G11,2020-06-20-00-00-00,22292035.27,2,0,3,5,2,7,3,7
G16,2020-06-20-00-00-00,22092757.58,2,7,5,7,5,7,8,7
G21,2020-06-20-00-00-00,24525360.09,5,3,6,0,0,8,6,5
G26,2020-06-20-00-00-00,24311823.25,1,8,2,3,2,5,0,5
G27,2020-06-20-00-00-00,20650189.84,0,1,8,9,8,3,6,8
C01,2020-06-20-00-05-00,37731737.08,1,7,3,7,0,7,8,6
C02,2020-06-20-00-05-00,37704055.98,4,0,5,5,9,7,7,6
C03,2020-06-20-00-05-00,36614468.16,4,4,6,8,1,6,4,6
C04,2020-06-20-00-05-00,38658996.35,8,9,9,6,3,5,2,6
C05,2020-06-20-00-05-00,39696102.88,6,1,0,2,8,8,3,5
C06,2020-06-20-00-05-00,37835028.46,5,0,2,8,4,6,1,6
C07,2020-06-20-00-05-00,36448765.31,8,7,6,5,3,1,3,7
C08,2020-06-20-00-05-00,39693859.95,3,8,5,9,9,5,3,5
C09,2020-06-20-00-05-00,36649862.81,9,8,6,2,8,0,5,7
C10,2020-06-20-00-05-00,37113812.93,3,8,1,2,9,3,0,7
C12,2020-06-20-00-05-00,24925000.63,5,0,0,0,6,3,3,6
C16,2020-06-20-00-05-00,38265221.84,5,2,2,1,8,4,4,7
C24,2020-06-20-00-05-00,24813145.6,3,1,4,5,6,0,2,6
C26,2020-06-20-00-05-00,21697832.58,7,8,3,2,5,7,8,8
C29,2020-06-20-00-05-00,24838154.19,8,1,5,4,1,8,8,6
G01,2020-06-20-00-05-00,24891106.43,1,1,0,6,4,3,0,5
G04,2020-06-20-00-05-00,22105045.2,5,0,4,5,2,0,3,7
G07,2020-06-20-00-05-00,23267932.48,7,9,3,2,4,8,4,6
G08,2020-06-20-00-05-00,20135704.13,5,7,0,4,1,3,3,8
G09,2020-06-20-00-05-00,22162502.17,2,5,0,2,1,7,2,7
G11,2020-06-20-00-05-00,22115988.63,5,9,8,8,6,3,3,7
G16,2020-06-20-00-05-00,22200958.62,0,9,5,8,6,1,7,7
G21,2020-06-20-00-05-00,24631460.46,1,4,6,0,4,6,1,5
G26,2020-06-20-00-05-00,24441986.93,1,9,8,6,9,3,0,5
G27,2020-06-20-00-05-00,20756047.91,6,0,4,7,9,1,4,8
C01,2020-06-20-00-10-00,37731986.56,1,9,8,6,5,5,5,6
C02,2020-06-20-00-10-00,37703975.48,3,9,7,5,4,7,7,6
C03,2020-06-20-00-10-00,36612192.41,2,1,9,2,4,0,6,6
C04,2020-06-20-00-10-00,38657635.47,7,6,3,5,4,6,9,6
C06,2020-06-20-00-10-00,37928788.06,8,7,8,8,0,6,3,6
C07,2020-06-20-00-10-00,36445486.96,5,4,8,6,9,6,1,7
C08,2020-06-20-00-10-00,39584186.77,4,1,8,6,7,6,6,5
C09,2020-06-20-00-10-00,36726701.59,6,7,0,1,5,9,4,7
C10,2020-06-20-00-10-00,37108672,8,6,7,2,0,0,0,7
C12,2020-06-20-00-10-00,24739442.7,9,4,4,2,7,0,3,5
C16,2020-06-20-00-10-00,38363624.02,3,6,2,4,0,2,3,6
