sateid,date,x,y,z,pro,clk
C01,2020-06-20-00-00-00,-34356413.249,24476531.07,666770.984,37731504.0396,-0.000402456
C02,2020-06-20-00-00-00,4420236.279,41900353.858,-1422148.217,37704077.9846,0.000270986
C03,2020-06-20-00-00-00,-14698257.002,39493045.066,-776674.159,36616719.6726,0.000855648
C04,2020-06-20-00-00-00,-39585798.532,14510427.393,234037.68,38660370.9616,-0.000156165
C05,2020-06-20-00-00-00,21926211.198,35984161.802,-1086691.41,39696094.5865,-0.000487007
C06,2020-06-20-00-00-00,-12551617.736,37597259.307,-13330644.762,37742317.1336,0.000758482
C07,2020-06-20-00-00-00,-11469374.704,23762504.044,33104423.531,36451068.4307,3.26708E-05
C08,2020-06-20-00-00-00,-25512392.696,26696226.295,-20578256.661,39803318.5705,-0.000322195
C09,2020-06-20-00-00-00,-2901581.265,41759457.991,2855882.934,36575483.7197,0.000621498
C10,2020-06-20-00-00-00,5105363.472,29836689.658,29693308.587,37118074.9227,-0.00025787
C12,2020-06-20-00-00-00,-475323,25426206.326,-11494560.13,25113338.6026,0.000406128
C16,2020-06-20-00-00-00,-10490115.972,39088151.433,-11398192.601,38167959.4777,-0.000614082
C24,2020-06-20-00-00-00,12645769.981,12861831.33,21287972.272,24953846.7736,-0.000787249
C26,2020-06-20-00-00-00,-7007835.928,16935659.699,21048348.93,21750072.7898,0.000724501
C29,2020-06-20-00-00-00,-16059011.817,-1362744.736,22771177.698,24678689.7277,0.000244802
G04,2020-06-20-00-00-00,-368461.727,26534822.582,-517664.309,21966884.2427,-0.000104617
G07,2020-06-20-00-00-00,10002180.741,12040222.094,21796269.822,23447016.7666,-0.000308415
G08,2020-06-20-00-00-00,-7036480.915,22592611.887,11809485.069,20154521.4618,-3.81446E-05
G09,2020-06-20-00-00-00,8330122.41,23062955.196,10138101.718,22129309.3677,-0.000239356
G11,2020-06-20-00-00-00,-11000923.048,24101993.937,-4054413.006,22292035.2737,-0.000243965
G16,2020-06-20-00-00-00,-16563409.187,5239172.687,20004668.656,22092757.5787,-0.000172562
G21,2020-06-20-00-00-00,-18300882.351,-3909559.893,19515733.488,24525360.0865,1.37137E-05
G26,2020-06-20-00-00-00,-23946891.398,-2616591.381,11396400.904,24311823.2505,0.000228524
G27,2020-06-20-00-00-00,-12378889.535,13423361.819,19017004.517,20650189.8368,-0.000324971
C01,2020-06-20-00-05-00,-34355727.047,24477221.023,659944.054,37731737.0786,-0.000402446
C02,2020-06-20-00-05-00,4419402.771,41900477.235,-1422169.622,37704055.9776,0.000270978
C03,2020-06-20-00-05-00,-14698875.443,39492445.383,-759099.646,36614468.1646,0.000855644
C04,2020-06-20-00-05-00,-39585421.579,14510229.667,246480.033,38658996.3526,-0.000156158
C05,2020-06-20-00-05-00,21925350.646,35984357.778,-1090140.175,39696102.8835,-0.000487027
C06,2020-06-20-00-05-00,-12202701.332,37456688.457,-14018412.948,37835028.4616,0.000758485
C07,2020-06-20-00-05-00,-11761450.081,23583134.971,33122411.264,36448765.3137,3.26616E-05
C08,2020-06-20-00-05-00,-25560382.491,27149068.341,-19922886.701,39693859.9535,-0.000322201
C09,2020-06-20-00-05-00,-2529443.199,41823151.574,2104029.494,36649862.8057,0.000621505
C10,2020-06-20-00-05-00,4911479.264,29549511.071,30006682.373,37113812.9307,-0.000257866
C12,2020-06-20-00-05-00,-601763.064,25784986.703,-10661860.477,24925000.6336,0.000406132
C16,2020-06-20-00-05-00,-10117775.374,38971400.828,-12110052.264,38265221.8447,-0.00061408
C24,2020-06-20-00-05-00,11929959.308,13032381.711,21595581.328,24813145.6026,-0.000787246
C26,2020-06-20-00-05-00,-7707403.028,17087006.82,20679068.002,21697832.5788,0.000724505
C29,2020-06-20-00-05-00,-15845177.945,-2115702.06,22863308.79,24838154.1886,0.000244804
G01,2020-06-20-00-05-00,-9309866.177,18869712.186,-16224810.397,24891106.4305,1.26152E-05
G04,2020-06-20-00-05-00,-455635.487,26497401.24,-1468988.785,22105045.2037,-0.000104618
G07,2020-06-20-00-05-00,9313743.475,12466021.553,21848182.216,23267932.4846,-0.000308418
G08,2020-06-20-00-05-00,-7132745.603,22130372.616,12608407.109,20135704.1338,-3.81449E-05
G09,2020-06-20-00-05-00,8268483.133,23440023.331,9292030.879,22162502.1727,-0.000239358
G11,2020-06-20-00-05-00,-11163574.734,24144649.595,-3154181.229,22115988.6337,-0.000243962
G16,2020-06-20-00-05-00,-17193227.969,4807537.678,19594799.794,22200958.6177,-0.000172563
G21,2020-06-20-00-05-00,-17755264.46,-4360178.603,19944694.414,24631460.4615,1.3715E-05
G26,2020-06-20-00-05-00,-24290548.419,-2868966.98,10588648.177,24441986.9305,0.000228526
G27,2020-06-20-00-05-00,-12450710.57,12681067.495,19480356.363,20756047.9148,-0.000324974
C01,2020-06-20-00-10-00,-34355039.639,24477900.848,652802.327,37731986.5556,-0.000402435
C02,2020-06-20-00-10-00,4418573.934,41900625.429,-1421509.938,37703975.4776,0.000270971
C03,2020-06-20-00-10-00,-14699511.147,39491847.666,-741161.052,36612192.4066,0.00085564
C04,2020-06-20-00-10-00,-39585050.432,14510014.213,258804.946,38657635.4696,-0.000156152
C06,2020-06-20-00-10-00,-11860129.504,37300533.327,-14699301.725,37928788.0636,0.000758488
C07,2020-06-20-00-10-00,-12061154.317,23416844.642,33124730.528,36445486.9617,3.26522E-05
C08,2020-06-20-00-10-00,-25588615.108,27603681.546,-19258057.328,39584186.7665,-0.000322209
C09,2020-06-20-00-10-00,-2154863.924,41870201.212,1351153.837,36726701.5947,0.000621513
C10,2020-06-20-00-10-00,4705263.556,29271321.114,30305933.403,37108672.0007,-0.000257864
C12,2020-06-20-00-10-00,-712345.46,26118737.847,-9811564.748,24739442.7035,0.000406135
C16,2020-06-20-00-10-00,-9750860.044,38838315.735,-12816066.392,38363624.0236,-0.000614077
C24,2020-06-20-00-10-00,11207975.984,13219108.161,21867531.358,24672450.4306,-0.000787243
C26,2020-06-20-00-10-00,-8391096.234,17248606.446,20275670.977,21649791.8208,0.00072451
C29,2020-06-20-00-10-00,-15645843.996,-2875216.592,22917670.037,25001462.7196,0.000244805
G04,2020-06-20-00-10-00,-544541.487,26425669.746,-2417494.45,22249530.8207,-0.00010462
G07,2020-06-20-00-10-00,8631366.717,12904611.426,21859489.395,23090381.1026,-0.00030842
G08,2020-06-20-00-10-00,-7239433.312,21640260.624,13382885.493,20126817.4308,-3.81448E-05
G09,2020-06-20-00-10-00,8210742.984,23785914.687,8428118.666,22205748.1567,-0.00023936
G11,2020-06-20-00-10-00,-11309449.235,24160540.793,-2248061.941,21945008.0947,-0.000243959
G16,2020-06-20-00-10-00,-17816607.327,4396365.045,19147197.122,22310275.7197,-0.000172565
G21,2020-06-20-00-10-00,-17206104.881,-4828941.482,20337535.844,24744833.1725,1.37163E-05
G26,2020-06-20-00-10-00,-24610442.186,-3102760.943,9760832.134,24572316.7735,0.000228528
G27,2020-06-20-00-10-00,-12536949.62,11923491.473,19905597.848,20869848.5317,-0.000324977
C01,2020-06-20-00-15-00,-34354351.157,24478570.293,645349.214,37732252.0476,-0.000402424
C02,2020-06-20-00-15-00,4417750.834,41900798.272,-1420169.472,37703836.2896,0.000270963
C03,2020-06-20-00-15-00,-14700163.721,39491251.793,-722866.948,36609895.7896,0.000855636
C04,2020-06-20-00-15-00,-39584685.39,14509781.147,271006.517,38656289.9926,-0.000156145
C05,2020-06-20-00-15-00,21923629.435,35984814.17,-1095470.073,39695999.4845,-0.000487067
C06,2020-06-20-00-15-00,-11524580.255,37129082.621,-15372974.727,38023483.5556,0.000758491
C07,2020-06-20-00-15-00,-12367907.373,23263948.459,33111373.382,36441228.8757,3.2643E-05
C08,2020-06-20-00-15-00,-25597034.898,28059204.992,-18584086.359,39474435.5396,-0.000322216
C09,2020-06-20-00-15-00,-1778576.298,41900508.515,597621.557,36805922.8917,0.000621521
C10,2020-06-20-00-15-00,4487118.972,29002645.007,30590917.322,37102622.0867,-0.000257861
C12,2020-06-20-00-15-00,-808059.196,26426400.937,-8945077.944,24557035.1336,0.000406139
C16,2020-06-20-00-15-00,-9390080.568,38689148.944,-13515893.963,38463054.7276,-0.000614075
C24,2020-06-20-00-15-00,10481375.576,13422028.627,22103374.702,24531964.5397,-0.00078724
C26,2020-06-20-00-15-00,-9057686.827,17419549.407,19838825.279,21606215.3918,0.000724514
C29,2020-06-20-00-15-00,-15461497.332,-3639751.929,22934171.843,25168203.7816,0.000244807
G04,2020-06-20-00-15-00,-636548.517,26319835.023,-3361361.099,22399770.8527,-0.000104621
G07,2020-06-20-00-15-00,7956510.511,13355058.125,21830117.519,22914786.0397,-0.000308423
G08,2020-06-20-00-15-00,-7357587.946,21123489.983,14131430.804,20127682.6178,-3.8145E-05
G09,2020-06-20-00-15-00,8155609.377,24099995.137,7548026.267,22258756.8137,-0.000239362
G11,2020-06-20-00-15-00,-11439495.549,24148851.797,-1337739.097,21779588.8207,-0.000243956
G16,2020-06-20-00-15-00,-18431794.139,4005942.199,18662777.075,22420643.9307,-0.000172566
G21,2020-06-20-00-15-00,-16654978.38,-5315361.188,20693616.902,24865186.1955,1.37176E-05
G26,2020-06-20-00-15-00,-24905341.196,-3318711.295,8914528.689,24702864.2585,0.00022853
